unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_latlong,dropoff_latlong,pickup_community_area,dropoff_community_area
d342d6d0-2714-4c58-891b-50945da44b0a,72260bbc4c07a8dcb92f078dd6eca595937f051a64ecfdb1eba6f22d1bc32cf16ce3fb067a8a7b4e0f381e60bbd99b98a45faf630f4e73e980967cbd4155bc71,2020-11-22 16:00:00 UTC,2020-11-22 16:00:00 UTC,41.892507781,-87.626214906,41.934762456,-87.639853859,"41.892507781,-87.626214906","41.934762456,-87.639853859",8,6
732b62da-b772-4892-8244-91e20a3b9f04,14c92115f22c1bdc2b430785fb7c6796765286b8e607644d1f0758762b87b80bf53dd85c6153046b98ef7a721f66a842501030938ce50cf833580a36e563a556,2020-11-22 21:15:00 UTC,2020-11-22 21:15:00 UTC,41.892507781,-87.626214906,41.93057857,-87.642206313,"41.892507781,-87.626214906","41.93057857,-87.642206313",8,7
8e61ee0e-d311-4438-acfc-64de2d690a9a,7e25041185a6cc504dd6e2f71691c595aeae45c4b862473f016bed34ee33e1dc9c74ab26454407ae4794086f7f1bd2e91cd5a53c98274f9efbab4e915b0460f7,2020-11-22 17:15:00 UTC,2020-11-22 17:30:00 UTC,41.892507781,-87.626214906,41.885300022,-87.642808466,"41.892507781,-87.626214906","41.885300022,-87.642808466",8,28
c896f503-cb2e-402a-958d-da5015b407e1,ad54cf6608ae55ec94af25855e3face2d3da1c4b98d5f22cf9cd11288875a4d2604602651af112e9cfa4c28027091be3759408c91f891f6d1912e723d856b763,2020-11-22 09:30:00 UTC,2020-11-22 09:30:00 UTC,41.892507781,-87.626214906,41.885300022,-87.642808466,"41.892507781,-87.626214906","41.885300022,-87.642808466",8,28
bf9f1333-78ea-483b-9fc6-fec1bb5e919c,519ec685026f0f617abc95e752338a4983798aee6bb05d6d31eb5b7470e2658b668c5ba9a4304c6e466f5dad3fa151a9637b712d8f3f228273a8bd29a5756881,2020-11-22 21:00:00 UTC,2020-11-22 21:15:00 UTC,41.892507781,-87.626214906,41.885300022,-87.642808466,"41.892507781,-87.626214906","41.885300022,-87.642808466",8,28
125955c6-40b2-4a2a-8a10-ad16657bb242,fd2a0da0c3fac477cf2004f82988290fd6f8198bb180f9cd13585ad99a6b841ad68a201129adc969e7eebc9a64cd89d98dd73feed1b62e3b67c9d621969fde6f,2020-11-22 09:00:00 UTC,2020-11-22 09:15:00 UTC,41.892507781,-87.626214906,41.885300022,-87.642808466,"41.892507781,-87.626214906","41.885300022,-87.642808466",8,28
a255426f-6fbe-48dc-b7c3-3e188e0e5001,f19cfcc4861615e9f61a778585285266b35f2857ee584db34c7f70f921bc795e87815130a045753ee0ec3d41caa4f4afd5392fa764d9a58c656e32e892263a2f,2020-11-22 17:15:00 UTC,2020-11-22 17:30:00 UTC,41.892507781,-87.626214906,41.867902418,-87.642958665,"41.892507781,-87.626214906","41.867902418,-87.642958665",8,28
621c55a9-23aa-411e-a983-18b1be9efe22,d1e88b56ec0e30adafcf072d5fb452148358f7b9ec7bd879ad664bcebd3db2922be29caf43993df9bf5ad0e5f69826008061f19a5d3d994689939d6f24541e14,2020-11-22 22:15:00 UTC,2020-11-22 22:30:00 UTC,41.892507781,-87.626214906,41.921778188,-87.651061884,"41.892507781,-87.626214906","41.921778188,-87.651061884",8,7
47b19dd8-6e8b-4574-adb7-ff52e7a1b01f,7ed122481c0964a5555309bf4696e25bbf7def086d7ecb94b4910b6129501468f748621f8c51a9e0daaaa8ecca9624925356a53e2860cefdbc3caf730404d9a9,2020-11-22 19:30:00 UTC,2020-11-22 19:45:00 UTC,41.892507781,-87.626214906,41.892658108,-87.652534484,"41.892507781,-87.626214906","41.892658108,-87.652534484",8,24
41a73fd1-6e2d-47e2-8a89-53f469f85701,adc7f5196ba6908039ab7f7c384e90679421398872034128ff9215bb3926c766cfe57e3caab7d0683afbfa4836b4e9247b60bc10cdfdb2c5043f7b1ed8ed899f,2020-11-22 21:15:00 UTC,2020-11-22 21:15:00 UTC,41.892507781,-87.626214906,41.89830587,-87.653613982,"41.892507781,-87.626214906","41.89830587,-87.653613982",8,24
f77e0da7-d510-4b4b-b373-a5a7bf730bc4,75547b81dd77a42f2716fc42bd38ff66cdd1a0824a01839251ddb87087903e8ed444fa251519df1132bab22bb021183fad16c081800cf35664c2508f291b1949,2020-11-22 00:15:00 UTC,2020-11-22 00:30:00 UTC,41.892507781,-87.626214906,41.88528132,-87.6572332,"41.892507781,-87.626214906","41.88528132,-87.6572332",8,28
d92b881d-5ed1-4c8d-9ec0-bde723106213,9422966db9699695a4e5c0b3355be7a6b71753db5058443ae4bc5aa64201b85728da69773df243d4c4c74b9d702ce5689c1705400f05e04541670639865b4141,2020-11-22 15:00:00 UTC,2020-11-22 15:15:00 UTC,41.892507781,-87.626214906,41.88528132,-87.6572332,"41.892507781,-87.626214906","41.88528132,-87.6572332",8,28
8158aa65-e9f5-4994-9299-c56c79eb9efd,8dd990653cc2793d96b80ae45e928afc9a590b21b491eea3f522f42a72a5d323e79997fb7b2aab3486de73e89a4c9ae8e8cc377056b9b0d3de37ab822ce2cf33,2020-11-22 21:45:00 UTC,2020-11-22 21:45:00 UTC,41.892507781,-87.626214906,41.88528132,-87.6572332,"41.892507781,-87.626214906","41.88528132,-87.6572332",8,28
5a1eea40-2542-4ce2-8bbc-498b6b1f6659,8c244243c4123f4b467c2931cf59a691059a45302dc13e32e90a7ab693e8e602b641670a9e562b4eaa92439d2277b68b41e30ad252738f6fa16f320b7d657cee,2020-11-22 20:15:00 UTC,2020-11-22 20:45:00 UTC,41.892507781,-87.626214906,41.936086535,-87.666110694,"41.892507781,-87.626214906","41.936086535,-87.666110694",8,6
5bb536cf-add8-477d-a18e-fa7adb944bb7,f451123ff58e8ef1ca5e64de85da57d7cf463c5ee73e6ad1301d57c9ce7a1dc958cd2c34bc424919ca74e3fc9b6ab261bc7923a725a5c3da00f9b3138e5e0c1d,2020-11-22 10:45:00 UTC,2020-11-22 11:00:00 UTC,41.892507781,-87.626214906,41.87866742,-87.671653621,"41.892507781,-87.626214906","41.87866742,-87.671653621",8,28
843aa120-a374-4073-86a4-c2947eaa41df,061388982993682b5a6db1167ce78e3f854a3eedb5cb00f2f463fa93c3573432db6791aa78e44e655cacab707526975bfcd22387c096051d5fab85e9c5d2ea9c,2020-11-22 08:00:00 UTC,2020-11-22 08:30:00 UTC,41.892507781,-87.626214906,41.97907082,-87.903039661,"41.892507781,-87.626214906","41.97907082,-87.903039661",8,76
f66609ef-9949-452c-a10d-a50ba0a8705a,3d7411b67bb74fa5dae3bf00929de0e93b6640441e123b1f3a496f00bac45711ca26a5882dbd1e6c75c0e315498d6a679c0faba377d6403f2ac9af265c0da0fd,2020-11-22 08:15:00 UTC,2020-11-22 08:30:00 UTC,41.892507781,-87.626214906,41.97907082,-87.903039661,"41.892507781,-87.626214906","41.97907082,-87.903039661",8,76
