unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_latlong,dropoff_latlong,pickup_community_area,dropoff_community_area
8200f4f5-cb6b-4d5d-bb4e-9b0d32816c73,4e8b855df4cfb0fb1d914961c82e5c0add75ed00cff865b7e0064cc3d9b32debb2ff65c32fbfdb6d2de287d89e91452e91d2be63b93bf2afd1d3b2968a7fdf17,2020-11-22 06:15:00 UTC,2020-11-22 06:30:00 UTC,41.96581197,-87.655878786,41.874005383,-87.66351755,"41.96581197,-87.655878786","41.874005383,-87.66351755",3,28
d029275c-6440-43a7-b8cb-ea39bb9730e3,eed4cbab8d3be11fc5fcff8f92b3ba140f63602f2760446756572fc4262d89af90bd665c89604918253358364f34ae32113be46209e794e28390e6cca1a87768,2020-11-22 07:00:00 UTC,2020-11-22 07:15:00 UTC,41.899602111,-87.633308037,41.874005383,-87.66351755,"41.899602111,-87.633308037","41.874005383,-87.66351755",8,28
d568874c-4c94-4e75-8e84-f177f7886f08,da1ddce066f7f02d7f134cb4b049fa71f94412f4b8e2af057bb32e3bdee7c42bd5cfbe02ba45de8fa62b1eabef705f7958c020a6e7ac6051ee61d88e4cf32779,2020-11-22 17:15:00 UTC,2020-11-22 17:45:00 UTC,42.001571027,-87.695012589,41.874005383,-87.66351755,"42.001571027,-87.695012589","41.874005383,-87.66351755",2,28
23183e72-dcbf-4ccc-b0a9-d0e35ce216d7,e359393bbba2d9cd136a164f3340de77950bb4d47af54d64ce0db41d5dd72278ebab2bbb909b688fd0b97388b1760ca37b754be308318591526d3dfd52289f72,2020-11-22 07:30:00 UTC,2020-11-22 07:45:00 UTC,41.878865584,-87.625192142,41.874005383,-87.66351755,"41.878865584,-87.625192142","41.874005383,-87.66351755",32,28
5d88297b-e1fc-41bb-bfa4-acc60bb9198d,9c0139e741b745577a98691c70a6e8fcbbd27561f827cc1ab0aaf00a397179b0ec5bbac721fa43ae3abbd0da6c6c3b9d2e66f5fbacb59adfff75d19efdbc8344,2020-11-22 12:15:00 UTC,2020-11-22 12:15:00 UTC,41.922686284,-87.649488729,41.874005383,-87.66351755,"41.922686284,-87.649488729","41.874005383,-87.66351755",7,28
9159c392-88ed-41c4-8370-62774628c6a2,09601fa7795a372c5764eca140c8e547b4ff30ff2ac22a21c886c590ed22e951ba64ee14df87ddd9cd538b56f15aab37e062f376014b49acf739c0e17816aea1,2020-11-22 06:30:00 UTC,2020-11-22 06:45:00 UTC,41.922686284,-87.649488729,41.874005383,-87.66351755,"41.922686284,-87.649488729","41.874005383,-87.66351755",7,28
33b69d0f-4c8a-4546-bb8b-66ba35c71e18,e901ed050c45dbef38b55fb93703923523fd025caec45b821aa2c8af908f3e9003fc9472babcff20face59bde3ed0adafcef44f6bb90d006871d3ae2fccfbadf,2020-11-22 06:45:00 UTC,2020-11-22 07:00:00 UTC,41.922686284,-87.649488729,41.874005383,-87.66351755,"41.922686284,-87.649488729","41.874005383,-87.66351755",7,28
4ba2b7ca-9910-4a33-a0c2-feee45889b37,8f3c7d4cc11fd46561981647499508fd691429845144780714b897db4c4880d601fe648cc121f013e4a9c4ad95c3756cfa6c12af351cb534382d07e7d2824072,2020-11-22 19:30:00 UTC,2020-11-22 19:45:00 UTC,41.922686284,-87.649488729,41.874005383,-87.66351755,"41.922686284,-87.649488729","41.874005383,-87.66351755",7,28
9fa89be9-0935-4490-9468-be04f5d20892,64375e2b26ec87f4da6e0c3b8887d949b8e91e9072a428b4433b3dd18722c50feb3be4456f9ce897346c8ed7c7ae7c72e6646ce3b6af81f9d49490d8e4f4d855,2020-11-22 18:15:00 UTC,2020-11-22 18:30:00 UTC,41.944226601,-87.655998182,41.874005383,-87.66351755,"41.944226601,-87.655998182","41.874005383,-87.66351755",6,28
4022cf22-3b2c-4205-a5ae-df5a868a1f12,59b84c0b0d53ada64487e8afa0216f82420ed72f35df5d75739cad58080ca44fe77bd743deff411311a7fd82eaf9db4906db44210ae321a69b1548ad7171106d,2020-11-22 06:00:00 UTC,2020-11-22 06:15:00 UTC,41.944226601,-87.655998182,41.874005383,-87.66351755,"41.944226601,-87.655998182","41.874005383,-87.66351755",6,28
22e59d54-d234-43e4-8190-63098d0fef46,f1595f3f9536df1d8d7df672cb3f0835fe79e1754f6c7acd273b2db33a056a721e175d114136088b9ee178d5cdead7cb834e38424d89250e960eb2155b526020,2020-11-22 18:15:00 UTC,2020-11-22 18:30:00 UTC,41.944226601,-87.655998182,41.874005383,-87.66351755,"41.944226601,-87.655998182","41.874005383,-87.66351755",6,28
