unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_latlong,dropoff_latlong,pickup_community_area,dropoff_community_area
ede85248-2eee-40c6-8a87-4c7d167f408c,8a579afa6df0914d872dac898a493e2d6c36acbe25b73fc9d65fe5a258d284daf3931399e83299e5de66065142ffd78278f8b4d022a8401afb11837d26099289,2020-11-22 07:00:00 UTC,2020-11-22 07:30:00 UTC,41.928945904,-87.66089257,41.785998518,-87.750934289,"41.928945904,-87.66089257","41.785998518,-87.750934289",7,56
e9390265-4b69-4231-9785-961528efcf2c,49da63d32eb700c36ba8f7bbe40b7dd768c1f6f12b7d4b84b0dfd6a6cb48c5a31bdaa35bc4148f056786d3eca431f201e55b5664c68a353f9de580f4c84a789a,2020-11-22 14:00:00 UTC,2020-11-22 14:15:00 UTC,41.849246754,-87.624135298,41.785998518,-87.750934289,"41.849246754,-87.624135298","41.785998518,-87.750934289",33,56
807e21cd-2dff-49f3-b009-13cda4455ce7,c693bc4df9ca19552ff333498c88fa151ae5f88d3d8f9d153c8c9b64d0f8a1b997a41e0aa33c201686a7ba4acba81a8af30e9a3a7345287063584b3747ec6eec,2020-11-22 08:30:00 UTC,2020-11-22 09:15:00 UTC,41.849246754,-87.624135298,41.785998518,-87.750934289,"41.849246754,-87.624135298","41.785998518,-87.750934289",33,56
9e820e69-3d0d-4a97-9918-28bdf3865e5c,f424dfc61852353edeb322ace577833ad150d3f9127543f1c681eca946720c5b5db31ea23419f63c4efe7f6cc54320aa9c07a36a71a558f84568c019e4e1528a,2020-11-22 15:15:00 UTC,2020-11-22 15:45:00 UTC,41.849246754,-87.624135298,41.785998518,-87.750934289,"41.849246754,-87.624135298","41.785998518,-87.750934289",33,56
293606b4-dc25-40c9-b73d-db9dea891ed6,49692f79df4c1c5856e2568d485fd41a63acc6e2b16b5cd70929bfcf777d0a1252b7104c893f83c51b5e343e90b353fba50f0544f3d790db0230c13bc10431c1,2020-11-22 07:30:00 UTC,2020-11-22 08:15:00 UTC,41.907520075,-87.6266589,41.785998518,-87.750934289,"41.907520075,-87.6266589","41.785998518,-87.750934289",8,56
7c83de49-049f-478d-8126-83544a902ce3,0fdba89b60c4f920c7a24fafbaf5d47f93026b492de33ac3fc16159156479dc43275ae80fda3ace17dd0760609589cc3dad3e70a47a100aa22f1bc9a2b783b06,2020-11-22 02:00:00 UTC,2020-11-22 02:45:00 UTC,41.899602111,-87.633308037,41.779582888,-87.768510849,"41.899602111,-87.633308037","41.779582888,-87.768510849",8,64
50f44f4b-cac2-4ccc-b953-b584036b1b0f,c8131eb8c9137ca25c05c4a1ceb857cfa692d59f54f08283394d5cbbc8f8bbec585c4c610306a5d7fa77fc2f92952159575df972e5152f7f11e7876064a6fe0f,2020-11-22 21:30:00 UTC,2020-11-22 21:45:00 UTC,41.899602111,-87.633308037,41.978829526,-87.771166703,"41.899602111,-87.633308037","41.978829526,-87.771166703",8,11
ac40ae03-36ce-4d18-a7e4-c0d6e850b5db,2afd9a6a0e05f93e05e3bb2c6ce3b1b9ac73f06bd9b28fa64aaeea2f94df916c8c7580579b0d56f08200e472b469dd556a122a541e49fc84fd8e9f12557e0faf,2020-11-22 09:00:00 UTC,2020-11-22 09:15:00 UTC,41.953582125,-87.72345239,41.978829526,-87.771166703,"41.953582125,-87.72345239","41.978829526,-87.771166703",16,11
7e158f38-ef78-4e41-ba77-50f8fca67cdb,4eefd6d2716e3e70208114acab05b879317f0277c8a8e6bf9692764296d8ff983f78c95f9a8c7bff0534a9899179c1200f636dfa3f45c0e6279710a184841e29,2020-11-22 14:00:00 UTC,2020-11-22 14:45:00 UTC,41.96581197,-87.655878786,41.980264315,-87.913624596,"41.96581197,-87.655878786","41.980264315,-87.913624596",3,76
79387676-117e-464e-9a87-6e4baf98a08e,4eefd6d2716e3e70208114acab05b879317f0277c8a8e6bf9692764296d8ff983f78c95f9a8c7bff0534a9899179c1200f636dfa3f45c0e6279710a184841e29,2020-11-22 08:30:00 UTC,2020-11-22 08:45:00 UTC,41.874005383,-87.66351755,41.980264315,-87.913624596,"41.874005383,-87.66351755","41.980264315,-87.913624596",28,76
04df9f16-a4c6-4f6c-8063-c82d247eb258,252ada1a45e512d3d038a61eb1832c0eec8e3c8dce58336f73d774bea49e0f203635dbc583d2135f060a5cd63c9ea7f6ac787f546ffa0b80daabd6e39eebe4f1,2020-11-22 18:00:00 UTC,2020-11-22 18:30:00 UTC,41.808916283,-87.596183344,41.980264315,-87.913624596,"41.808916283,-87.596183344","41.980264315,-87.913624596",39,76
0b2f90a9-31ec-49b4-a980-bcccdb813559,e83c4ffb6ba7fd656fb2bd8aba8d7eb39f7f65304c209407d00c136c97c14427a01b1700edef17d180ae8551a0695a8bbc146c3e9b0cf5456675d1d25e63c323,2020-11-22 06:45:00 UTC,2020-11-22 07:15:00 UTC,41.922686284,-87.649488729,41.980264315,-87.913624596,"41.922686284,-87.649488729","41.980264315,-87.913624596",7,76
3e619c6c-77d4-4136-bc86-3ca9880a1263,a34428fc706a587fa300353865a5dd6566aa73cd556317acebf88be447f22a6dad222fd6f6e056e2a36011cf79bba1d86b618646b7dabf0199f0e5d7380f75db,2020-11-22 00:00:00 UTC,2020-11-22 00:30:00 UTC,41.944226601,-87.655998182,41.980264315,-87.913624596,"41.944226601,-87.655998182","41.980264315,-87.913624596",6,76
4ff03116-f11a-4e17-aab0-842cf5655cf8,6ad58cc97b1f0d00192a400e27722c669eb732786c7c378ed4d3e2c6247038eb7cf20b7e800fff57e190896c71f971dc47f389cbc6d25f1d22e9af45277d3928,2020-11-22 17:15:00 UTC,2020-11-22 17:45:00 UTC,41.944226601,-87.655998182,41.980264315,-87.913624596,"41.944226601,-87.655998182","41.980264315,-87.913624596",6,76
287468e1-a368-492d-b80a-a1465b12d538,31b314085f0b04878a93d92d27f19c036d0cd710739ecfd0ddbb7bb4d949f25341167613f84e7fb6ebaf6a59dc80a16f90fde008feb217cc67f550b9a7489a14,2020-11-22 08:00:00 UTC,2020-11-22 08:45:00 UTC,41.944226601,-87.655998182,41.980264315,-87.913624596,"41.944226601,-87.655998182","41.980264315,-87.913624596",6,76
e6573fac-8b35-4e39-80ac-8ed44dd97396,01c983c59129108981f8914f0efb6e0a110ee56fd798f99fc4bf7f8321faf05270bfade66c5e8532c64a4276ce308519fd24606606018f3a51e3d58a0cde7549,2020-11-22 13:15:00 UTC,2020-11-22 13:30:00 UTC,41.947791586,-87.683834942,41.980264315,-87.913624596,"41.947791586,-87.683834942","41.980264315,-87.913624596",5,76
ad124719-d772-4c6d-9ecb-0f1240879aa2,69d98995876c80f617a2884fac0a9ff87019a3cb7e519c369c692547cc1560bb2c8990ad38913c4de1ba09931f31018a0ec651282cb2c25a66b5697233cc9656,2020-11-22 16:00:00 UTC,2020-11-22 16:30:00 UTC,41.953582125,-87.72345239,41.980264315,-87.913624596,"41.953582125,-87.72345239","41.980264315,-87.913624596",16,76
18d3a75c-80aa-4500-8bea-a8d3d6e9bcac,3446442418acf44dc1e3556376bd40dd87a22d1f6ceb4a5cfd2e41432ecc9168c02f3c2e69cf652253231dfb1c31f807af64ad58b0649bb52adc6eebf2b507f0,2020-11-22 13:45:00 UTC,2020-11-22 14:15:00 UTC,41.954027649,-87.763399032,41.980264315,-87.913624596,"41.954027649,-87.763399032","41.980264315,-87.913624596",15,76
886d2726-cb66-4a61-85be-a9f49aae9874,b1244716a083ba8c4151173bf8d5e2d0fe69d61d92ee5de956f37617c75f06afa525de61255545ee2ab3b7205d0d62e05ff48b1ab3e5f5bf0afbad6b4f6c59de,2020-11-22 11:30:00 UTC,2020-11-22 12:00:00 UTC,41.901206994,-87.676355989,41.980264315,-87.913624596,"41.901206994,-87.676355989","41.980264315,-87.913624596",24,76
8e48894c-7e85-4e49-8051-e76acfbe9bfc,6027026bae159d4f0f8f0e3eaab1abeeb1d23f6311fbe98e065d89c06db26ff0d446bd98068fd4d468b6db6418695687015f66dda789c4e62bc9182f837fe66a,2020-11-22 17:30:00 UTC,2020-11-22 18:00:00 UTC,41.975170943,-87.687515515,41.980264315,-87.913624596,"41.975170943,-87.687515515","41.980264315,-87.913624596",4,76
3d071685-1ce0-45f9-8177-ea540584baf9,d31d372d2b930acc658e9b72ba4fd17b08ab09ee936051b1cb7cc6f99e941c39aaf8777bc27a9e2a4c40220b92a44f29756f82efb59a3dccb3e87991950d346a,2020-11-22 06:45:00 UTC,2020-11-22 07:15:00 UTC,41.92276062,-87.699155343,41.980264315,-87.913624596,"41.92276062,-87.699155343","41.980264315,-87.913624596",22,76
b9491ee9-190f-4742-a373-3deea3cab92a,439d309dfa51ea4e6c346e85acf9b3fd3789aa573b2875c7be18627db402bdd3086b292443c2fd04877a6db3e010190695c95bec5dbefa3a0f47ad995aa90379,2020-11-22 10:45:00 UTC,2020-11-22 11:00:00 UTC,41.944226601,-87.655998182,41.761577908,-87.572781987,"41.944226601,-87.655998182","41.761577908,-87.572781987",6,43
ffe6ee07-bc80-482c-bcfb-ceb9813a883b,7c591bcd008e7f5bc3d38cba84109305edeff47655258fec9381406f63e62ae7d348d3bb7b3a7c056051ecd9f160f55cee0659f24fa24edfbe4e441d64cd35ab,2020-11-22 06:30:00 UTC,2020-11-22 06:45:00 UTC,41.884987192,-87.620992913,41.790506261,-87.583143717,"41.884987192,-87.620992913","41.790506261,-87.583143717",32,41
4a3df846-ae28-40d0-ad39-9e217b69ca7e,d4fdfedf3c662fbe2da0d4628e83a98136b5af51aeca012bb4cb15cac47f56467f67030d7567fa1e72e9528e52a7f9e483a55f8e2d80d86e6f8ec1961d89ea00,2020-11-22 10:15:00 UTC,2020-11-22 10:30:00 UTC,41.892072635,-87.628874157,41.790506261,-87.583143717,"41.892072635,-87.628874157","41.790506261,-87.583143717",8,41
b3ab19cb-dd33-448a-a6c8-ded0ce33c431,081758ced4767105bfa217f7b0784d72d37e12a016fe2afe00706141bef5950c435d6dc7b112c594bcf48f00f40817f995f9f4ac20a91a9c01b6c11accf0d9ff,2020-11-22 22:30:00 UTC,2020-11-22 22:45:00 UTC,41.880994471,-87.632746489,41.805911699,-87.587479258,"41.880994471,-87.632746489","41.805911699,-87.587479258",32,39
